soak: 24 h, sampling every 60s (1440 samples)
  t+ 102.0 min   CPU  0.00%   RSS     38.05 MiB
  t+ 103.0 min   CPU  0.00%   RSS     38.05 MiB
  t+ 104.0 min   CPU  0.00%   RSS     38.05 MiB
  t+ 105.0 min   CPU  0.00%   RSS     38.05 MiB
  t+ 106.0 min   CPU  0.00%   RSS     38.05 MiB
  t+ 107.0 min   CPU  0.00%   RSS     38.05 MiB
  t+ 108.0 min   CPU  0.00%   RSS     38.05 MiB
  t+ 109.0 min   CPU  0.00%   RSS     38.05 MiB
  t+ 110.0 min   CPU  0.00%   RSS     38.05 MiB
  t+ 111.0 min   CPU  0.00%   RSS     38.06 MiB
  t+ 112.0 min   CPU  0.00%   RSS     38.06 MiB
  t+ 113.0 min   CPU  0.00%   RSS     38.06 MiB
  t+ 114.0 min   CPU  0.00%   RSS     38.06 MiB
  t+ 115.0 min   CPU  0.00%   RSS     38.07 MiB
  t+ 116.0 min   CPU  0.00%   RSS     38.07 MiB
  t+ 117.0 min   CPU  0.00%   RSS     38.07 MiB
  t+ 118.0 min   CPU  0.00%   RSS     38.07 MiB
  t+ 119.0 min   CPU  0.00%   RSS     38.08 MiB
  t+ 120.0 min   CPU  0.00%   RSS     38.09 MiB
  t+ 121.0 min   CPU  0.00%   RSS     38.09 MiB
  t+ 122.0 min   CPU  0.00%   RSS     38.09 MiB
  t+ 123.0 min   CPU  0.00%   RSS     38.09 MiB
  t+ 124.0 min   CPU  0.00%   RSS     38.09 MiB
  t+ 125.0 min   CPU  0.00%   RSS     38.09 MiB
  t+ 126.0 min   CPU  0.00%   RSS     38.09 MiB
  t+ 127.0 min   CPU  0.00%   RSS     38.09 MiB
  t+ 128.0 min   CPU  0.00%   RSS     38.09 MiB
  t+ 129.0 min   CPU  0.00%   RSS     38.10 MiB
  t+ 130.0 min   CPU  0.00%   RSS     38.11 MiB
  t+ 131.0 min   CPU  0.00%   RSS     38.11 MiB
  t+ 132.0 min   CPU  0.00%   RSS     38.11 MiB
  t+ 133.0 min   CPU  0.00%   RSS     38.11 MiB
